NO    : OWNER      SIZE         NAME
46    : dadi       110423       /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pyarrow-19.0.1.dist-info/LICENSE.txt
47    : dadi       3032         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pyarrow-19.0.1.dist-info/NOTICE.txt
48    : dadi       18           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pyarrow-19.0.1.dist-info/top_level.txt
49    : dadi       50           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/together-1.5.2.dist-info/entry_points.txt
50    : dadi       10           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/propcache-0.3.1.dist-info/top_level.txt
51    : dadi       10           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/multidict-6.2.0.dist-info/top_level.txt
52    : dadi       855          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pyarrow/src/arrow/python/CMakeLists.txt
53    : dadi       837          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pyarrow/src/arrow/python/vendored/CMakeLists.txt
54    : dadi       493          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pip/_vendor/vendor.txt
55    : dadi       5            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/tqdm-4.67.1.dist-info/top_level.txt
56    : dadi       39           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/tqdm-4.67.1.dist-info/entry_points.txt
57    : dadi       4            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pillow-11.1.0.dist-info/top_level.txt
58    : dadi       53           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/pygments-2.19.1.dist-info/entry_points.txt
59    : dadi       47755        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/numpy-2.2.4.dist-info/LICENSE.txt
60    : dadi       172          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/numpy-2.2.4.dist-info/entry_points.txt
61    : dadi       1093         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/urllib3-2.3.0.dist-info/licenses/LICENSE.txt
62    : dadi       1475         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/click-8.1.8.dist-info/LICENSE.txt
63    : dadi       10           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/aiosignal-1.3.2.dist-info/top_level.txt
64    : dadi       58           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/markdown_it_py-3.0.0.dist-info/entry_points.txt
65    : dadi       5            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/yarl-1.18.3.dist-info/top_level.txt
66    : dadi       19           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/charset_normalizer-3.4.1.dist-info/top_level.txt
67    : dadi       65           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/charset_normalizer-3.4.1.dist-info/entry_points.txt
68    : dadi       9            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/tabulate-0.9.0.dist-info/top_level.txt
69    : dadi       44           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/tabulate-0.9.0.dist-info/entry_points.txt
70    : dadi       9            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib64/python3.12/site-packages/requests-2.32.3.dist-info/top_level.txt
